name,uid,tag,category
103A机房J列头柜B路,N2_S0_E190,,cabinet_feed
103A机房J列头柜A路,N2_S0_E189,,cabinet_feed
103A机房I列头柜B路,N2_S0_E188,,cabinet_feed
103A机房I列头柜A路,N2_S0_E187,,cabinet_feed
103A机房H列头柜B路,N2_S0_E186,,cabinet_feed
103A机房H列头柜A路,N2_S0_E185,,cabinet_feed
103A机房G列头柜B路,N2_S0_E184,,cabinet_feed
103A机房G列头柜A路,N2_S0_E183,,cabinet_feed
103A机房F列头柜B路,N2_S0_E182,,cabinet_feed
103A机房E列头柜A路,N2_S0_E181,,cabinet_feed
103A机房E列头柜B路,N2_S0_E40,,cabinet_feed
103A机房F列头柜A路,N2_S0_E39,,cabinet_feed
103A机房D列头柜B路,N2_S0_E38,,cabinet_feed
103A机房D列头柜A路,N2_S0_E37,,cabinet_feed
103A机房C列头柜B路,N2_S0_E36,,cabinet_feed
103A机房C列头柜A路,N2_S0_E35,,cabinet_feed
103A机房B列头柜B路,N2_S0_E34,,cabinet_feed
103A机房B列头柜A路,N2_S0_E33,,cabinet_feed
103A机房A列头柜B路,N2_S0_E32,,cabinet_feed
103A机房A列头柜A路,N2_S0_E31,,cabinet_feed
1F IDC机房1#空调,N2_S0_E1_A27,回风湿度设定点（%）,ac_setpoint
1F IDC机房1#空调,N2_S0_E1_A28,回风温度设定点（℃）,ac_setpoint
1F IDC机房1#空调,N2_S0_E1_A30,远程平均温度设定点（℃）,ac_setpoint
1F IDC机房1#空调,N2_S0_E1_A31,远程最高温度设定点（℃）,ac_setpoint
1F IDC机房2#空调,N2_S0_E2_A27,回风湿度设定点（%）,ac_setpoint
1F IDC机房2#空调,N2_S0_E2_A28,回风温度设定点（℃）,ac_setpoint
1F IDC机房2#空调,N2_S0_E2_A30,远程平均温度设定点（℃）,ac_setpoint
1F IDC机房2#空调,N2_S0_E2_A31,远程最高温度设定点（℃）,ac_setpoint
1F IDC机房3#空调,N2_S0_E3_A27,回风湿度设定点（%）,ac_setpoint
1F IDC机房3#空调,N2_S0_E3_A28,回风温度设定点（℃）,ac_setpoint
1F IDC机房3#空调,N2_S0_E3_A30,远程平均温度设定点（℃）,ac_setpoint
1F IDC机房3#空调,N2_S0_E3_A31,远程最高温度设定点（℃）,ac_setpoint
1F IDC机房4#空调,N2_S0_E4_A27,回风湿度设定点（%）,ac_setpoint
1F IDC机房4#空调,N2_S0_E4_A28,回风温度设定点（℃）,ac_setpoint
1F IDC机房4#空调,N2_S0_E4_A30,远程平均温度设定点（℃）,ac_setpoint
1F IDC机房4#空调,N2_S0_E4_A31,远程最高温度设定点（℃）,ac_setpoint
1F IDC机房5#空调,N2_S0_E5_A27,回风湿度设定点（%）,ac_setpoint
1F IDC机房5#空调,N2_S0_E5_A28,回风温度设定点（℃）,ac_setpoint
1F IDC机房5#空调,N2_S0_E5_A30,远程平均温度设定点（℃）,ac_setpoint
1F IDC机房5#空调,N2_S0_E5_A31,远程最高温度设定点（℃）,ac_setpoint
1F IDC机房6#空调,N2_S0_E6_A27,回风湿度设定点（%）,ac_setpoint
1F IDC机房6#空调,N2_S0_E6_A28,回风温度设定点（℃）,ac_setpoint
1F IDC机房6#空调,N2_S0_E6_A30,远程平均温度设定点（℃）,ac_setpoint
1F IDC机房6#空调,N2_S0_E6_A31,远程最高温度设定点（℃）,ac_setpoint
1F IDC机房7#空调,N2_S0_E7_A27,回风湿度设定点（%）,ac_setpoint
1F IDC机房7#空调,N2_S0_E7_A28,回风温度设定点（℃）,ac_setpoint
1F IDC机房7#空调,N2_S0_E7_A30,远程平均温度设定点（℃）,ac_setpoint
1F IDC机房7#空调,N2_S0_E7_A31,远程最高温度设定点（℃）,ac_setpoint
1F IDC机房8#空调,N2_S0_E8_A27,回风湿度设定点（%）,ac_setpoint
1F IDC机房8#空调,N2_S0_E8_A28,回风温度设定点（℃）,ac_setpoint
1F IDC机房8#空调,N2_S0_E8_A30,远程平均温度设定点（℃）,ac_setpoint
1F IDC机房8#空调,N2_S0_E8_A31,远程最高温度设定点（℃）,ac_setpoint
1F IDC机房9#空调,N2_S0_E9_A27,回风湿度设定点（%）,ac_setpoint
1F IDC机房9#空调,N2_S0_E9_A28,回风温度设定点（℃）,ac_setpoint
1F IDC机房9#空调,N2_S0_E9_A30,远程平均温度设定点（℃）,ac_setpoint
1F IDC机房9#空调,N2_S0_E9_A31,远程最高温度设定点（℃）,ac_setpoint
1F IDC机房热通道33#温湿度,a7217828_ed16_4ffa_b789_04ada92a2e75,1#温度,temp_humidity_sensor
1F IDC机房热通道33#温湿度,52664cb3_a254_46c0_9674_777ef3b68793,1#湿度,temp_humidity_sensor
1F IDC机房冷通道32#温湿度,a38944a0_b951_45b2_a13c_13a6fa9223e4,1#温度,temp_humidity_sensor
1F IDC机房冷通道32#温湿度,600edf85_f3ec_46e5_a811_855f82ae07f4,1#湿度,temp_humidity_sensor
1F IDC机房热通道31#温湿度,4fe07996_cd59_4771_ab80_bab15210849b,1#温度,temp_humidity_sensor
1F IDC机房热通道31#温湿度,b111676c_bfed_4fca_a23e_91774e9736fa,1#湿度,temp_humidity_sensor
1F IDC机房冷通道30#温湿度,44686a4e_336a_471f_9f04_abfe29f12c8a,1#温度,temp_humidity_sensor
1F IDC机房冷通道30#温湿度,24e69074_556e_421e_88bc_d983f21e2a46,1#湿度,temp_humidity_sensor
1F IDC机房热通道29#温湿度,0ab54859_d564_4e3d_9810_2d74a26d007d,1#温度,temp_humidity_sensor
1F IDC机房热通道29#温湿度,25c42ff2_2278_42ca_b97c_43f82cf29737,1#湿度,temp_humidity_sensor
1F IDC机房冷通道28#温湿度,f50dd4c9_c782_4c40_81e6_14dcfd755436,1#温度,temp_humidity_sensor
1F IDC机房冷通道28#温湿度,dd6f7451_7a3d_4656_97ef_b350af38491a,1#湿度,temp_humidity_sensor
1F IDC机房热通道27#温湿度,bdb38c2a_f0c6_49c0_b62a_d4e0fc5fd0ea,1#温度,temp_humidity_sensor
1F IDC机房热通道27#温湿度,b3582d8f_390a_4db6_8f42_68be2cad1339,1#湿度,temp_humidity_sensor
