name,uid,category
冷冻总管供水平均温度,f20f7350_ddd6_45e3_b10a_a63f01a6cd4b,input
冷冻侧泵组运行数量,a13176bb_3bb7_4adc_8eb7_66dfa911f43c,input
1#冷冻泵运行状态,58a01135_6239_40aa_a2bb_e5dd214e6e1a,input
1#冷冻泵变频反馈,60d8edcb_16fb_449e_bfce_c3638d6cf73d,input
1#冷却泵运行状态,f89cad89_7c54_4cd2_b698_8bc02a31b1a7,input
1#冷却泵变频反馈,b879c1f5_4aa9_4c0c_99b1_a5f78be1279b,input
1#冷却塔运行状态,a1943b1f_7236_4997_9721_aa3f67f66127,input
1#冷却塔变频反馈,df552485_196f_4436_b076_74708bd4e73c,input
2#冷却塔运行状态,145cbc6c_ae10_414e_a5e9_fdd96d45138f,input
2#冷却塔变频反馈,bec138b8_d749_47a2_9914_d271688e5947,input
V16阀门开反馈,8e26d9a1_8c6f_4966_86df_078f8360f7c5,input
V20阀门开反馈,1d085c1b_142d_4fb5_b6a1_8d878239db06,input
V21阀门开反馈,b80c7278_cb6c_40c2_8984_b002b992c1e4,input
V22阀门开反馈,30699c72_4993_4487_be2d_f80a29168da1,input
V23阀门开反馈,87ec99a8_3af2_497d_b877_1b01504696b9,input
V24阀门开反馈,b5b56961_868c_432f_b09a_986a7208c793,input
1#冷机运行状态,3a595b52_ae59_424a_82f4_3436842db552,input
1#冷机冷冻出水温度,566185d4_6cac_4dcc_a52a_0b3bece9d920,input
1#冷机冷却进水温度,61db6ac0_eeef_44d5_9f86_a7a2c07c74be,input
1#冷机冷冻水流开关,2976cfd2_6b50_4bf7_abfc_4d9806c81409,input
1#冷机冷却水流开关,c035e2a7_def9_430d_8e4c_9795a9765d8c,input
1#冷机压缩机冷凝压力,661ec640_59f7_4f8e_92f7_90d57b3abe7a,input
1#冷机压缩机冷凝温度,ddfc7ccd_dfa4_4258_8737_bb388acda4e8,input
1#冷机压缩机蒸发压力,83b2f5e2_27bd_4518_a34b_adc9bb6b57c1,input
1#冷机压缩机蒸发温度,30884cf5_21b4_4660_8a6e_8d36c8de6c0c,input
1#压缩机排气温度,d80c57d4_9a7b_486d_9994_af3b64ddcc20,input
1#压缩机吸气温度,6c7e3bf8_235e_4aad_a1d7_31a50eb9cce7,input
1#压缩机供油温度,033d216c_087a_49b1_a431_c0544e12f815,input
1#压缩机供油压力,22c0a671_9a64_4bb2_9c41_025276ef1854,input
1#压缩机油箱温度,ca2d82a6_8c13_41b5_a3ab_25dc8ff8ce41,input
1#压缩机油箱压力,9560a394_b12c_4e3a_9562_44f5e829977a,input
1#压缩机运行时间,9f6f28dd_70b4_4c7c_964e_c1ca7990ca48,input
1#压缩机启动次数,ded19ee4_432c_4580_8463_693e7f4103d7,input
1#压缩机导叶开度,18df604b_1891_47be_8e76_05a8f0cdac0d,input
2#冷冻泵运行状态,69754e31_94b6_43d4_9186_4e5ddf477f9f,input
2#冷冻泵变频反馈,30b063e7_c72d_4678_bfcb_5f4c95f21818,input
2#冷却泵运行状态,2f7c59da_0a9d_4616_8772_3f79a79edb29,input
2#冷却泵变频反馈,696a1edc_d719_44cb_96dd_f121bc2b5e95,input
7#冷却塔运行状态,c4cc5563_4894_43ff_be68_a0dcfd10c539,input
7#冷却塔变频反馈,6bd2f5ca_85a4_4e24_b6f1_087a3124355b,input
8#冷却塔运行状态,59b2bb9a_09a1_429c_ac5d_86a54a9996cd,input
8#冷却塔变频反馈,1ee5af99_9870_4eaf_ae35_247dd98b7619,input
V15阀门开反馈,399ba9b0_76e3_47b8_b4fe_8b501fb800f3,input
V19阀门开反馈,a8126950_147a_411a_954d_9047a94d5192,input
V33阀门开反馈,1e50eba8_942a_4873_9d79_dcb61b43a854,input
V34阀门开反馈,6d21f8aa_bfef_42a3_bb7c_7c1547481970,input
V35阀门开反馈,357b9ca1_0232_47bd_9f01_e40ba35ca315,input
V36阀门开反馈,4e34021e_146b_4e74_9caa_003e01c912bd,input
2#冷机运行状态,f6f72a01_6520_4139_9a80_4ad143cf7754,input
2#冷机冷冻出水温度,650186e2_c232_4ad0_a13c_7c572ea1f883,input
2#冷机冷却进水温度,96767a02_149a_4d99_9e7f_118a155bacee,input
2#冷机冷冻水流开关,fc863933_4222_4aa8_a536_028a7edc187d,input
2#冷机冷却水流开关,0f7de855_f0f8_4df1_b3d4_4ec2f08e9bb2,input
2#冷机压缩机冷凝压力,2f25b14e_1a57_4bd4_bfdf_aaf313a659f2,input
2#冷机压缩机冷凝温度,de2ee3a3_59bc_455f_bd44_59c3d395641a,input
2#冷机压缩机蒸发压力,21f97585_e749_4ab9_977a_df025218be5c,input
2#冷机压缩机蒸发温度,83300e4d_b532_40c7_b191_380b9e215cbb,input
2#压缩机排气温度,a29ebf0f_5464_4f37_b5cb_92194be3fd1b,input
2#压缩机吸气温度,9aaabaa4_138f_4aff_b0c7_9d4db32f3981,input
2#压缩机供油温度,951925ea_b093_49ae_b9cf_d769e975d39a,input
2#压缩机供油压力,4b0e10bf_9531_4066_adbf_ce7a5592195c,input
2#压缩机油箱温度,dc090ac8_40b1_4200_b1c5_ef3624fb7971,input
2#压缩机油箱压力,8fb77b0f_de8e_4c12_9165_f228909b95d9,input
2#压缩机运行时间,c9408206_ac3d_497c_bd14_40880f4a0835,input
2#压缩机启动次数,4b0aad38_85eb_432c_af69_4dc0bf0dbee5,input
2#压缩机导叶开度,61d52025_2006_4bfe_92af_61bbc1ad9b11,input
3#冷冻泵运行状态,5089e1e2_28f7_4b51_b926_58f53a2b5f21,input
3#冷冻泵变频反馈,a8cc0e6a_0454_4896_bc51_535c060b5ed3,input
3#冷却泵运行状态,3827ba36_feea_45e2_ba6e_9ca4372195b3,input
3#冷却泵变频反馈,e8576c13_913e_4a8e_a726_18ed0a3bca70,input
3#冷却塔运行状态,9299aa1f_5e9e_4fcb_b541_840d9dd5e918,input
3#冷却塔变频反馈,8d7d5f68_fe38_4567_89e7_47698604ebf0,input
4#冷却塔运行状态,e5d315ff_39b0_4472_bdcb_5ecdb78eb5ee,input
4#冷却塔变频反馈,47d97a4e_a6d8_45b9_a054_a9cbe052b596,input
V14阀门开反馈,5d25ea2e_8fb9_49ad_bdb7_c375f5a81365,input
V18阀门开反馈,75d5916e_0731_47fe_9809_808aa55083bd,input
V25阀门开反馈,df77248d_8de9_4dfa_8028_edf3a8ca8faa,input
V26阀门开反馈,e1fd6894_d83b_484f_a1af_13a1753d170c,input
V27阀门开反馈,16dab63c_23a4_4731_8960_d922d526bae3,input
V28阀门开反馈,517f633d_670e_425b_a4f2_b4a1c7771e30,input
3#冷机运行状态,d648d72d_e8a3_4260_b309_50496c5e098d,input
3#冷机冷冻出水温度,8ff4a8f3_0a2f_486e_b758_2219f1cfbb23,input
3#冷机冷却进水温度,263ca4a7_70ae_4e17_8d22_58985fca090a,input
3#冷机冷冻水流开关,663dd565_fe66_4139_a6af_6b594aab537b,input
3#冷机冷却水流开关,6a98e949_6822_4147_aeeb_4277e3109d69,input
3#冷机压缩机冷凝压力,e8b005ca_cfaa_464f_b915_70846aca2dc2,input
3#冷机压缩机冷凝温度,52c5c44a_12ff_4df5_b9e4_13659e2ba17c,input
3#冷机压缩机蒸发压力,5f2edc83_21e9_452f_a34e_a5c15e85aae9,input
3#冷机压缩机蒸发温度,5554a220_5845_4a2f_ad4c_f8445d909ad8,input
3#压缩机排气温度,87f632f9_ee0e_41e9_8975_378693348259,input
3#压缩机吸气温度,91c7920c_ce5b_464a_9bd8_e463d763a811,input
3#压缩机供油温度,5d33aa25_11cf_46c3_a03c_c1e9a1a86480,input
3#压缩机供油压力,7cf0b0c9_6879_4f2c_9ca4_439ffa62087e,input
3#压缩机油箱温度,59b0e9db_7c64_4a73_b2ba_e3fcd36ce4ab,input
3#压缩机油箱压力,e242f52c_2433_4b93_ae11_8e583acf8260,input
3#压缩机运行时间,ff57a76d_3397_4b93_8fc0_fbb8ff86c0fa,input
3#压缩机启动次数,e5f579e6_2ff3_4d7e_a952_eb0bf401e338,input
3#压缩机导叶开度,5e881b26_92a5_4c14_aba8_dab0367b39c4,input
4#冷冻泵运行状态,3c36faf1_ab54_4189_93f8_47931d0fdcfa,input
4#冷冻泵变频反馈,8556e1c4_a5f2_442a_a427_cc5e5c5ac174,input
